text,amount_correct,category_correct,type_correct,confidence,model_confidence,final_category,gold_category
"Curso de inglês R$ 366,68",True,True,True,1.0,0.948,Educação,Educação
"Aluguel da casa 272,56 reais",True,True,False,0.92,0.556,Outros,Outros
"Apostila do concurso R$365,02",True,True,True,1.0,0.89,Educação,Educação
Certificação online R$ 359.46,True,True,True,0.78,0.948,Educação,Educação
"Faxina da casa R$ 1542,21",True,True,True,0.76,0.905,Moradia,Moradia
"Dividendos ações 373,25 rs",True,True,False,0.97,0.932,Outros,Outros
"Material escolar 12,40 reais",True,True,True,1.0,0.947,Educação,Educação
IPTU 1239.51 rs,True,True,True,0.77,0.935,Moradia,Moradia
"Bar com a galera 249,24 reais",True,True,True,1.0,0.927,Lazer,Lazer
Venda produtos R$ 33.35,True,True,False,0.97,0.93,Outros,Outros
Viagem para a praia 17.87 rs,True,True,True,0.72,0.806,Lazer,Lazer
"Jantar romântico custou 30,71 reais",True,True,True,1.0,0.926,Comida,Comida
"Sapato novo R$ 199,10",True,True,True,1.0,0.939,Outros,Outros
Xerox das provas 23.58 rs,True,True,True,0.77,0.935,Educação,Educação
"Plano de saúde R$ 14,09",True,True,True,0.77,0.937,Saúde,Saúde
Sapato novo R$ 158.86,True,True,True,0.97,0.931,Outros,Outros
Pastel na feira 75.22 rs,True,True,True,1.0,0.895,Comida,Comida
Condomínio 771.65 reais,True,True,True,1.0,0.914,Moradia,Moradia
PIX agendado R$335.01,True,True,True,0.98,0.946,Outros,Outros
Extra supermercados R$273.96,True,True,True,1.0,0.892,Mercado,Mercado
"Transferi 383,99 reais para minha filho",True,True,True,1.0,0.849,Outros,Outros
Sacolão R$ 39.76,True,True,True,0.74,0.857,Mercado,Mercado
Exames de sangue 307.67 reais,True,True,True,1.0,0.939,Saúde,Saúde
"Sacolão R$ 175,00",True,True,True,0.77,0.918,Mercado,Mercado
"Certificação online 277,36 reais",True,True,True,0.77,0.926,Educação,Educação
"Empréstimo recebido R$24,81",True,True,True,0.97,0.933,Outros,Outros
Hambúrguer no food truck 66.21 reais,True,True,True,0.77,0.931,Comida,Comida
"Cafezinho da manhã 60,70 reais",True,True,True,0.76,0.907,Comida,Comida
"Fisioterapia 268,48 rs",True,True,True,0.74,0.838,Saúde,Saúde
Pizza delivery R$ 43.05,True,True,True,1.0,0.917,Comida,Comida
"Apostila do concurso 109,40 rs",True,True,True,1.0,0.939,Educação,Educação
Pão de açúcar R$76.12,True,True,True,1.0,0.945,Mercado,Mercado
Devolução da loja R$376.49,True,True,False,0.97,0.928,Outros,Outros
Doação para ONG R$ 52.22,True,True,True,0.97,0.925,Outros,Outros
Vendeu o celular R$ 166.07,True,True,True,0.97,0.914,Outros,Outros
Faxina da casa R$ 1208.86,True,True,True,0.72,0.812,Moradia,Moradia
Doação para ONG R$ 236.28,True,True,True,0.98,0.947,Outros,Outros
"Dentista 39,14 rs",True,True,True,1.0,0.882,Saúde,Saúde
"Troca de óleo R$ 47,68",True,True,True,0.77,0.928,Transporte,Transporte
Xerox das provas 257.59 reais,True,True,True,0.77,0.927,Educação,Educação
Comissão de vendas R$1577.38,True,True,False,0.77,0.936,Salário,Salário
"R$ 52,92 no lanche da tarde",True,True,True,1.0,0.92,Comida,Comida
"Reembolso do plano R$253,14",True,True,False,0.95,0.873,Outros,Outros
Cafezinho da manhã 55.85 rs,True,True,True,0.76,0.905,Comida,Comida
"Hambúrguer no food truck R$ 59,76",True,True,True,0.77,0.914,Comida,Comida
"Parque de diversões R$241,26",True,True,True,0.78,0.943,Lazer,Lazer
Farmácia popular R$111.56,True,True,True,1.0,0.922,Saúde,Saúde
"Roupas na C&A R$ 177,02",True,True,True,0.94,0.848,Outros,Outros
"Cinema no shopping 244,72 rs",True,True,True,1.0,0.933,Lazer,Lazer
Revisão do carro 8.27 rs,True,True,True,1.0,0.845,Transporte,Transporte
"Apostila do concurso R$360,78",True,True,True,1.0,0.933,Educação,Educação
Cashback do cartão R$108.55,True,True,True,0.97,0.926,Outros,Outros
Caneta e caderno R$32.71,True,True,True,0.77,0.929,Educação,Educação
"Roupas na C&A R$ 125,13",True,True,True,0.9,0.745,Outros,Outros
"Conserto do celular R$164,02",True,True,True,0.97,0.93,Outros,Outros
"Estacionamento do shopping R$21,40",True,True,True,1.0,0.847,Transporte,Transporte
"Presente de aniversário R$293,36",True,True,True,0.97,0.919,Outros,Outros
"Bilhete único R$ 175,37",True,True,True,0.74,0.844,Transporte,Transporte
Devolução da loja 378.46 rs,True,True,False,0.98,0.942,Outros,Outros
Verduras e frutas R$ 56.35,True,True,True,0.77,0.93,Mercado,Mercado
"Estacionamento do shopping 59,58 reais",True,True,True,1.0,0.839,Transporte,Transporte
"Presente de aniversário R$ 73,86",True,True,True,0.96,0.911,Outros,Outros
Cashback do cartão 302.92 rs,True,True,True,0.97,0.929,Outros,Outros
Hambúrguer no food truck R$ 53.53,True,True,True,0.77,0.92,Comida,Comida
Apostila do concurso R$268.24,True,True,True,1.0,0.927,Educação,Educação
"Passagem de ônibus 17,38 rs",True,True,True,1.0,0.932,Transporte,Transporte
"Venda produtos R$358,42",True,True,False,0.97,0.925,Outros,Outros
28.72 rs no lanche da tarde,True,True,True,1.0,0.936,Comida,Comida
Freelance programação 6943.27 reais,True,True,False,1.0,0.921,Salário,Salário
"Gás de cozinha 1294,64 reais",True,True,True,0.77,0.936,Moradia,Moradia
"Aluguel do apartamento 463,57 reais",True,True,True,1.0,0.722,Moradia,Moradia
51.04 rs no lanche da tarde,True,True,True,1.0,0.944,Comida,Comida
Pão de Açúcar 179.04 rs,True,True,True,1.0,0.932,Mercado,Mercado
"Farmácia popular R$ 70,84",True,True,True,1.0,0.935,Saúde,Saúde
"PIX agendado 35,64 rs",True,True,True,0.97,0.916,Outros,Outros
Cervejinha com os amigos 69.13 rs,True,True,True,0.77,0.937,Comida,Comida
"Netflix mensal R$ 62,88",True,True,True,1.0,0.923,Lazer,Lazer
Devolução da loja R$ 197.46,True,True,False,0.98,0.942,Outros,Outros
Seguro do carro R$ 181.89,True,True,True,1.0,0.883,Outros,Outros
Condomínio R$ 229.24,True,True,True,1.0,0.928,Moradia,Moradia
Gás de cozinha 810.47 reais,True,True,True,0.77,0.931,Moradia,Moradia
"Academia Smart Fit 319,74 reais",True,True,True,1.0,0.947,Saúde,Saúde
Taxa do banco R$ 65.34,True,True,True,0.98,0.939,Outros,Outros
"Devolução da loja 346,57 reais",True,True,False,0.97,0.934,Outros,Outros
Material de limpeza 501.74 reais,True,True,True,1.0,0.799,Moradia,Moradia
Balada sábado 120.92 reais,True,True,True,0.77,0.922,Lazer,Lazer
Renda extra 328.53 rs,True,True,False,1.0,0.767,Outros,Outros
13º salário R$ 2112.83,True,True,True,1.0,0.952,Salário,Salário
Venda produtos 269.57 reais,True,True,False,0.97,0.936,Outros,Outros
"Comprinhas básicas 403,74 reais",True,True,True,0.78,0.941,Mercado,Mercado
Mercadinho da esquina 79.56 reais,True,True,True,0.74,0.843,Mercado,Mercado
"Parque de diversões R$ 138,92",True,True,True,0.77,0.936,Lazer,Lazer
Fisioterapia R$301.12,True,True,True,0.77,0.913,Saúde,Saúde
"Pagamento consultoria R$ 3772,98",True,True,False,0.76,0.907,Salário,Salário
"Devolução da loja 111,45 rs",True,True,False,0.97,0.921,Outros,Outros
Comprinhas básicas R$266.82,True,True,True,0.77,0.928,Mercado,Mercado
"Conserto do celular R$167,33",True,True,True,0.97,0.92,Outros,Outros
"Ajuda familiar R$365,03",True,True,False,0.98,0.939,Outros,Outros
Mercadinho da esquina 440.18 reais,True,True,True,0.75,0.871,Mercado,Mercado
"Gasolina do carro 162,10 reais",True,True,True,1.0,0.708,Transporte,Transporte
"Devolução da loja 368,21 rs",True,True,False,0.97,0.924,Outros,Outros
Cervejinha com os amigos R$ 45.07,True,True,True,0.77,0.936,Comida,Comida
"Aluguel da casa R$ 224,95",True,True,False,0.96,0.658,Outros,Outros
Freelance programação 7292.64 rs,True,True,False,1.0,0.94,Salário,Salário
"PIX agendado R$308,41",True,True,True,0.97,0.933,Outros,Outros
Empréstimo recebido 148.67 reais,True,True,True,0.97,0.934,Outros,Outros
"Renda extra R$ 86,07",True,True,False,0.97,0.663,Outros,Outros
99 pop R$ 85.12,True,True,True,1.0,0.927,Transporte,Transporte
"Mensalidade Unopar R$ 58,46",True,True,True,0.77,0.934,Educação,Educação
Consulta médica R$ 228.87,True,True,True,1.0,0.938,Saúde,Saúde
Consulta médica R$18.78,True,True,True,1.0,0.936,Saúde,Saúde
Fisioterapia R$ 59.93,True,True,True,0.77,0.93,Saúde,Saúde
Aluguel da casa R$370.54,True,True,False,0.9,0.5,Outros,Outros
Ingresso do jogo 143.00 rs,True,True,True,1.0,0.89,Lazer,Lazer
"Trabalho extra 7239,98 reais",True,True,False,1.0,0.938,Salário,Salário
"Transferi 75,31 rs para minha filha",True,True,True,0.97,0.921,Outros,Outros
Taxa do banco R$ 370.24,True,True,True,0.97,0.928,Outros,Outros
Freelance programação R$5252.83,True,True,False,1.0,0.941,Salário,Salário
Parque de diversões 132.15 rs,True,True,True,0.78,0.949,Lazer,Lazer
"Carnes no açougue R$ 66,91",True,True,True,0.77,0.927,Mercado,Mercado
Ingresso do jogo 180.68 reais,True,True,True,1.0,0.799,Lazer,Lazer
Hora extra 4591.22 reais,True,True,False,1.0,0.937,Salário,Salário
"Perfume importado 221,68 rs",True,True,True,0.97,0.916,Outros,Outros
"Bar com a galera R$6,88",True,True,True,1.0,0.927,Lazer,Lazer
"Mandei 355,06 rs pro José",True,True,True,0.97,0.928,Outros,Outros
Compras da semana R$82.15,True,True,True,1.0,0.924,Mercado,Mercado
"Aluguel da casa R$ 57,87",True,True,False,0.94,0.601,Outros,Outros
"Perfume importado R$142,66",True,True,True,0.97,0.914,Outros,Outros
"Devolução da loja R$91,36",True,True,False,0.97,0.935,Outros,Outros
"Doação para ONG R$178,76",True,True,True,0.98,0.945,Outros,Outros
Empréstimo recebido R$123.71,True,True,True,0.97,0.915,Outros,Outros
"Comprinhas básicas 449,91 rs",True,True,True,0.78,0.945,Mercado,Mercado
"Certificação online R$358,02",True,True,True,0.78,0.944,Educação,Educação
"Verduras e frutas 271,29 reais",True,True,True,0.76,0.904,Mercado,Mercado
Dividendos ações R$ 267.43,True,True,False,0.97,0.93,Outros,Outros
"Bonificação 4134,49 rs",True,True,True,1.0,0.766,Salário,Salário
"Devolução da loja R$192,62",True,True,False,0.97,0.931,Outros,Outros
"Vendeu o celular R$ 76,82",True,True,True,0.97,0.926,Outros,Outros
"Dentista 152,95 rs",True,True,True,1.0,0.907,Saúde,Saúde
"Pastel na feira 31,48 rs",True,True,True,1.0,0.916,Comida,Comida
"Venda produtos 258,66 rs",True,True,False,0.97,0.932,Outros,Outros
Uber para o trabalho R$88.86,True,True,True,1.0,0.85,Transporte,Transporte
Material escolar R$29.92,True,True,True,1.0,0.941,Educação,Educação
Remédio da pressão 181.42 rs,True,True,True,1.0,0.926,Saúde,Saúde
Material escolar R$ 131,True,True,True,1.0,0.946,Educação,Educação
"Verduras e frutas 225,92 rs",True,True,True,0.77,0.937,Mercado,Mercado
"Revisão do carro 69,17 rs",True,True,True,1.0,0.851,Transporte,Transporte
"Pão de açúcar R$ 48,03",True,True,True,1.0,0.931,Mercado,Mercado
Emprestei 328.57 rs para o João,True,True,False,0.97,0.933,Outros,Outros
"Presente de aniversário 173,54 rs",True,True,True,0.97,0.917,Outros,Outros
"Aluguel da casa 164,94 rs",True,True,False,0.95,0.635,Outros,Outros
"Reembolso do plano R$275,37",True,True,False,0.97,0.914,Outros,Outros
Verduras e frutas R$ 24.20,True,True,True,0.77,0.915,Mercado,Mercado
Remédio da pressão 26.28 reais,True,True,True,1.0,0.917,Saúde,Saúde
Trabalho extra 7080.66 reais,True,True,False,1.0,0.887,Salário,Salário
"Doação para ONG 99,00 reais",True,True,True,1.0,0.807,Outros,Outros
"Remédio da pressão 95,40 reais",True,True,True,1.0,0.942,Saúde,Saúde
Devolução da loja 281.50 rs,True,True,False,0.95,0.873,Outros,Outros
TED 362.79 reais pagamento,True,True,False,0.9,0.757,Outros,Outros
13º salário 1117.35 reais,True,True,True,1.0,0.944,Salário,Salário
Mensalidade Unopar R$203.21,True,True,True,0.77,0.935,Educação,Educação
"Pagamento consultoria R$ 5677,01",True,True,False,0.74,0.861,Salário,Salário
Consulta médica R$136.29,True,True,True,1.0,0.928,Saúde,Saúde
Prêmio da loteria R$ 345.43,True,True,False,0.97,0.924,Outros,Outros
"Conta de luz R$149,53",True,True,True,1.0,0.947,Moradia,Moradia
"Extra supermercados 18,59 reais",True,True,True,1.0,0.887,Mercado,Mercado
"Apostila do concurso R$69,99",True,True,True,1.0,0.875,Educação,Educação
"Show no Allianz 224,12 rs",True,True,True,0.77,0.927,Lazer,Lazer
"Mensalidade Unopar R$250,78",True,True,True,0.77,0.914,Educação,Educação
"Devolução da loja 398,05 rs",True,True,False,0.97,0.924,Outros,Outros
"Pizza delivery 40,98 rs",True,True,True,1.0,0.927,Comida,Comida
"Plano de saúde 250,40 rs",True,True,True,0.77,0.935,Saúde,Saúde
"Hambúrguer no food truck 56,01 rs",True,True,True,0.77,0.934,Comida,Comida
PIX agendado R$ 168.65,True,True,True,0.98,0.941,Outros,Outros
"Verduras e frutas R$ 361,57",True,True,True,0.75,0.868,Mercado,Mercado
Academia Smart Fit 84.85 reais,True,True,True,1.0,0.943,Saúde,Saúde
Reembolso do plano 384.40 rs,True,True,False,0.95,0.874,Outros,Outros
"Farmácia popular 107,37 reais",True,True,True,1.0,0.932,Saúde,Saúde
Parque de diversões R$ 111.45,True,True,True,0.77,0.923,Lazer,Lazer
Passagem de ônibus R$ 107.25,True,True,True,1.0,0.934,Transporte,Transporte
"Jantar romântico custou R$ 27,87",True,True,True,1.0,0.94,Comida,Comida
Spotify premium R$ 220.24,True,True,True,1.0,0.839,Lazer,Lazer
"Cashback do cartão 276,28 rs",True,True,True,0.98,0.942,Outros,Outros
"Passagem de ônibus 22,46 reais",True,True,True,1.0,0.936,Transporte,Transporte
"Corte de cabelo R$ 291,28",True,True,True,0.84,0.593,Outros,Outros
"Compras da semana R$409,23",True,True,True,1.0,0.941,Mercado,Mercado
Renda extra R$ 258.89,True,True,False,1.0,0.771,Outros,Outros
"Cervejinha com os amigos R$9,10",True,True,True,0.76,0.898,Comida,Comida
Pizza delivery R$3.22,True,True,True,1.0,0.945,Comida,Comida
Material escolar R$ 144.45,True,True,True,1.0,0.961,Educação,Educação
Netflix mensal 134.13 rs,True,True,True,1.0,0.925,Lazer,Lazer
Prêmio da loteria 215.95 rs,True,True,False,0.97,0.919,Outros,Outros
Mandei R$269.18 pro Antônio,True,True,True,0.96,0.907,Outros,Outros
"PIX para Carlos R$245,49",True,True,True,0.97,0.918,Outros,Outros
Renda extra R$33.95,True,True,False,1.0,0.837,Outros,Outros
"TED 94,72 reais pagamento",True,True,False,0.93,0.816,Outros,Outros
"Mercadinho da esquina 155,09 reais",True,True,True,0.75,0.867,Mercado,Mercado
"99 pop 147,40 reais",True,True,True,1.0,0.941,Transporte,Transporte
Água da SABESP 1047.24 rs,True,True,True,1.0,0.931,Moradia,Moradia
Maquiagem Natura R$ 206.12,True,True,True,0.89,0.728,Outros,Outros
"Mercadinho da esquina R$360,33",True,True,True,0.74,0.843,Mercado,Mercado
Maquiagem Natura R$271.07,True,True,True,0.63,0.57,Salário,Salário
Uber para o trabalho R$ 157.70,True,True,True,1.0,0.907,Transporte,Transporte
Pão de Açúcar R$ 78.32,True,True,True,1.0,0.93,Mercado,Mercado
Movimento estranho,True,True,True,0.52,0.792,Outros,Outros
Trabalho extra R$5808.98,True,True,False,1.0,0.942,Salário,Salário
Pagamento da empresa R$ 2525.41,True,True,False,0.74,0.856,Salário,Salário
"Reembolso do plano 251,50 rs",True,True,False,0.96,0.902,Outros,Outros
Condomínio R$1266.05,True,True,True,1.0,0.926,Moradia,Moradia
"Seguro do carro R$70,18",True,True,True,0.97,0.687,Outros,Outros
Exames de sangue 77.99 reais,True,True,True,1.0,0.921,Saúde,Saúde
"Maquiagem Natura 270,30 rs",True,True,True,0.91,0.784,Outros,Outros
"Compras da semana 161,80 reais",True,True,True,1.0,0.884,Mercado,Mercado
Cafezinho da manhã R$ 54.37,True,True,True,0.76,0.91,Comida,Comida
Curso de inglês 217.06 rs,True,True,True,1.0,0.908,Educação,Educação
"Almocei hoje e gastei R$41,07",True,True,True,1.0,0.929,Comida,Comida
Gás de cozinha R$1699.67,True,True,True,1.0,0.942,Moradia,Moradia
"Transferi R$243,51 para minha cunhado",True,True,True,0.97,0.929,Outros,Outros
Pagamento da empresa 4166.83 rs,True,True,False,0.76,0.892,Salário,Salário
"Pão de Açúcar R$318,42",True,True,True,1.0,0.951,Mercado,Mercado
Academia Smart Fit R$103.40,True,True,True,1.0,0.941,Saúde,Saúde
"Jantar romântico custou 17,41 reais",True,True,True,1.0,0.942,Comida,Comida
"Pastel na feira 66,55 rs",True,True,True,1.0,0.887,Comida,Comida
"13º salário 6988,81 rs",True,True,True,1.0,0.951,Salário,Salário
"Ajuda familiar 372,93 reais",True,True,False,0.97,0.925,Outros,Outros
35 reais de crédito no celular,True,False,True,0.63,0.567,Lazer,Outros
"Curso de inglês 157,52 reais",True,True,True,1.0,0.944,Educação,Educação
Remédio da pressão R$248.58,True,True,True,1.0,0.923,Saúde,Saúde
Ajuda familiar R$ 63.97,True,True,False,0.97,0.934,Outros,Outros
Taxa do banco 199.69 rs,True,True,True,1.0,0.939,Outros,Outros
"Spotify premium R$ 168,33",True,True,True,1.0,0.877,Lazer,Lazer
Consulta médica R$ 219.28,True,True,True,1.0,0.934,Saúde,Saúde
"PIX para Ana R$347,39",True,True,True,0.97,0.935,Outros,Outros
"Cashback do cartão 398,56 rs",True,True,True,0.97,0.928,Outros,Outros
TED R$ 135.57 pagamento,True,True,False,0.94,0.851,Outros,Outros
"Sacolão R$ 202,23",True,True,True,0.77,0.927,Mercado,Mercado
Prêmio da loteria R$ 212.51,True,True,False,0.97,0.928,Outros,Outros
"Renda extra 382,70 reais",True,True,False,1.0,0.836,Outros,Outros
"Bilhete único R$ 11,61",True,True,True,0.77,0.925,Transporte,Transporte
"Taxa do banco 141,84 rs",True,True,True,0.97,0.923,Outros,Outros
99 pop 84.14 reais,True,True,True,1.0,0.916,Transporte,Transporte
"Certificação online R$353,87",True,True,True,0.78,0.94,Educação,Educação
Açaí com granola 81.72 reais,True,True,True,0.74,0.856,Comida,Comida
"Pagamento consultoria R$828,59",True,True,False,0.76,0.904,Salário,Salário
Xerox das provas R$27.24,True,True,True,0.78,0.938,Educação,Educação
Hora extra 6970.89 rs,True,True,False,1.0,0.927,Salário,Salário
"Venda produtos 14,74 reais",True,True,False,0.96,0.904,Outros,Outros
IPTU R$ 103.13,True,True,True,0.77,0.929,Moradia,Moradia
Hambúrguer no food truck 14.13 reais,True,True,True,0.77,0.924,Comida,Comida
"TED R$ 214,38 pagamento",True,True,False,0.93,0.829,Outros,Outros
"Transferi R$38,91 para minha irmã",True,True,True,0.97,0.934,Outros,Outros
Comprinhas básicas 312.81 reais,True,True,True,0.78,0.94,Mercado,Mercado
"Pedágio da rodovia 12,76 rs",True,True,True,0.76,0.907,Transporte,Transporte
Dividendos ações 354.85 reais,True,True,False,0.97,0.933,Outros,Outros
Mandei R$390.10 pro Francisca,True,True,True,0.98,0.939,Outros,Outros
Condomínio R$ 408.84,True,True,True,1.0,0.872,Moradia,Moradia
Roupas na C&A R$233.92,True,True,True,0.92,0.807,Outros,Outros
Hora extra R$ 1668.88,True,True,False,1.0,0.927,Salário,Salário
Apostila do concurso R$ 178.58,True,True,True,1.0,0.92,Educação,Educação
"Pedágio da rodovia 79,88 reais",True,True,True,0.77,0.919,Transporte,Transporte
IPTU R$ 1405.98,True,True,True,0.77,0.932,Moradia,Moradia
Gasolina do carro 33.04 reais,True,True,True,1.0,0.893,Transporte,Transporte
Prêmio da loteria R$ 241.06,True,True,False,0.98,0.939,Outros,Outros
Açaí com granola 48.73 rs,True,True,True,0.76,0.905,Comida,Comida
"Pedágio da rodovia R$16,76",True,True,True,0.73,0.816,Transporte,Transporte
Ajuda familiar R$272.14,True,True,False,0.97,0.935,Outros,Outros
Trabalho extra R$1406.38,True,True,False,1.0,0.873,Salário,Salário
"Venda produtos R$ 67,24",True,True,False,0.97,0.928,Outros,Outros
Verduras e frutas 171.02 reais,True,True,True,0.77,0.926,Mercado,Mercado
"Pagamento da empresa 5262,76 reais",True,True,False,0.75,0.876,Salário,Salário
99 pop 35.18 rs,True,True,True,1.0,0.919,Transporte,Transporte
"Carnes no açougue 141,16 rs",True,True,True,0.77,0.92,Mercado,Mercado
"Ajuda familiar 99,50 reais",True,True,False,1.0,0.88,Outros,Outros
Ajuda familiar R$ 342,True,True,False,0.98,0.948,Outros,Outros
13º salário 3034.56 rs,True,True,True,1.0,0.946,Salário,Salário
"Vendeu o celular 145,60 reais",True,True,True,0.97,0.919,Outros,Outros
Gasolina do carro 15.86 rs,True,True,True,1.0,0.76,Transporte,Transporte
"Emprestei 60,66 rs para o Pedro",True,True,False,0.97,0.915,Outros,Outros
Salário depositado 4931.45 reais,True,True,True,1.0,0.926,Salário,Salário
"Empréstimo recebido 357,37 rs",True,True,True,0.97,0.934,Outros,Outros
Plano de saúde 66.74 rs,True,True,True,0.77,0.928,Saúde,Saúde
"13º salário 2585,97 rs",True,True,True,1.0,0.951,Salário,Salário
Certificação online R$316.22,True,True,True,0.78,0.944,Educação,Educação
"Gasolina do carro R$150,93",True,True,True,1.0,0.867,Transporte,Transporte
Venda produtos R$ 373.25,True,True,False,0.97,0.935,Outros,Outros
PIX agendado R$ 83.29,True,True,True,0.97,0.923,Outros,Outros
"Plano de saúde 80,74 rs",True,True,True,0.77,0.931,Saúde,Saúde
"Curso de inglês 154,96 rs",True,True,True,1.0,0.924,Educação,Educação
Livros da faculdade R$140.11,True,True,True,1.0,0.742,Educação,Educação
"Remédio da pressão R$ 266,78",True,True,True,1.0,0.923,Saúde,Saúde
Teatro municipal R$ 22.32,True,True,True,1.0,0.911,Lazer,Lazer
"Doação para ONG 48,49 reais",True,True,True,0.96,0.906,Outros,Outros
"Cashback do cartão 46,63 reais",True,True,True,0.97,0.935,Outros,Outros
Perfume importado R$ 113.16,True,True,True,0.97,0.922,Outros,Outros
Plano de saúde 147.90 reais,True,True,True,0.77,0.917,Saúde,Saúde
"Táxi até em casa 125,96 rs",True,True,True,0.76,0.906,Transporte,Transporte
"Workshop de marketing 98,92 reais",True,True,True,0.76,0.893,Educação,Educação
Transferência 165.10 rs emergência,True,True,False,0.97,0.915,Outros,Outros
Táxi até em casa 168.18 reais,True,True,True,0.77,0.924,Transporte,Transporte
"Reembolso do plano R$286,88",True,True,False,0.97,0.928,Outros,Outros
"Taxa do banco 250,88 reais",True,True,True,0.97,0.931,Outros,Outros
"Farmácia popular 231,54 reais",True,True,True,1.0,0.944,Saúde,Saúde
PIX para Maria R$224.19,True,True,True,0.96,0.893,Outros,Outros
"Remédio da pressão 153,22 reais",True,True,True,1.0,0.94,Saúde,Saúde
"Conta de luz 935,20 reais",True,True,True,1.0,0.943,Moradia,Moradia
"Jantar romântico custou R$16,48",True,True,True,1.0,0.94,Comida,Comida
"Vendeu o celular 10,25 rs",True,True,True,0.97,0.93,Outros,Outros
"Netflix mensal R$ 44,60",True,True,True,1.0,0.908,Lazer,Lazer
Farmácia popular 230.93 rs,True,True,True,1.0,0.951,Saúde,Saúde
"PIX 46,18 rs divisão conta",True,True,True,0.96,0.903,Outros,Outros
Ingresso do jogo 241.23 rs,True,True,True,1.0,0.867,Lazer,Lazer
"Consulta médica R$ 204,46",True,True,True,1.0,0.933,Saúde,Saúde
Extra supermercados R$ 253.65,True,True,True,1.0,0.848,Mercado,Mercado
"Gasolina do carro R$123,56",True,True,True,1.0,0.838,Transporte,Transporte
"Sapato novo R$351,55",True,True,True,0.97,0.933,Outros,Outros
"Taxa do banco 233,42 reais",True,True,True,0.97,0.934,Outros,Outros
"Taxa do banco 39,58 rs",True,True,True,0.96,0.91,Outros,Outros
TED R$ 316.52 pagamento,True,True,False,0.89,0.716,Outros,Outros
Conserto do celular 309.80 rs,True,True,True,0.97,0.92,Outros,Outros
Viagem para a praia R$ 165.75,True,True,True,0.7,0.745,Lazer,Lazer
"Água da SABESP R$ 1108,61",True,True,True,1.0,0.924,Moradia,Moradia
"Perfume importado 390,01 rs",True,True,True,0.97,0.936,Outros,Outros
"PIX agendado R$ 261,63",True,True,True,0.97,0.935,Outros,Outros
"Plano de saúde 162,18 reais",True,True,True,0.77,0.926,Saúde,Saúde
Netflix mensal R$ 156.78,True,True,True,1.0,0.92,Lazer,Lazer
"Aluguel do apartamento 1327,82 rs",True,True,True,1.0,0.704,Moradia,Moradia
Parque de diversões R$113.21,True,True,True,0.77,0.928,Lazer,Lazer
Presente de aniversário R$ 263.27,True,True,True,0.97,0.915,Outros,Outros
Seguro do carro 93.72 reais,True,True,True,1.0,0.822,Outros,Outros
"Aluguel da casa 257,00 reais",True,True,False,0.91,0.52,Outros,Outros
"Teatro municipal 41,72 rs",True,True,True,1.0,0.917,Lazer,Lazer
Cafezinho da manhã R$ 3.13,True,True,True,0.78,0.947,Comida,Comida
Pagamento da empresa 883.25 rs,True,True,False,0.76,0.894,Salário,Salário
"Condomínio R$1172,59",True,True,True,1.0,0.89,Moradia,Moradia
"Táxi até em casa 74,92 reais",True,True,True,0.77,0.916,Transporte,Transporte
Cinema no shopping R$171.20,True,True,True,1.0,0.878,Lazer,Lazer
"Roupas na C&A 265,63 rs",True,True,True,0.92,0.803,Outros,Outros
PIX agendado R$ 34.54,True,True,True,0.97,0.933,Outros,Outros
Exames de sangue 249.33 reais,True,True,True,1.0,0.943,Saúde,Saúde
"Vendeu o celular R$347,85",True,True,True,0.98,0.938,Outros,Outros
R$65.32 no lanche da tarde,True,True,True,1.0,0.937,Comida,Comida
Uber para o trabalho 104.93 rs,True,True,True,1.0,0.894,Transporte,Transporte
"Seguro do carro 105,82 rs",True,True,True,1.0,0.788,Outros,Outros
Dividendos ações R$288.70,True,True,False,0.97,0.932,Outros,Outros
"Sacolão 347,00 reais",True,True,True,0.76,0.902,Mercado,Mercado
"Atacadão compras 227,17 reais",True,True,True,1.0,0.907,Mercado,Mercado
"Show no Allianz R$ 228,71",True,True,True,0.77,0.922,Lazer,Lazer
"Comprinhas básicas 79,48 rs",True,True,True,0.76,0.903,Mercado,Mercado
"Corte de cabelo R$391,31",True,True,True,0.83,0.579,Outros,Outros
Gás de cozinha 1478.41 rs,True,True,True,0.78,0.938,Moradia,Moradia
PIX para João R$ 382.95,True,True,True,0.97,0.933,Outros,Outros
"Pizza delivery 22,92 reais",True,True,True,1.0,0.928,Comida,Comida
Verduras e frutas 54.23 rs,True,True,True,0.78,0.947,Mercado,Mercado
DOC 371.06 rs para filho,True,True,False,0.97,0.93,Outros,Outros
"Fisioterapia 274,59 reais",True,True,True,0.77,0.931,Saúde,Saúde
"Uber para o trabalho 46,54 reais",True,True,True,1.0,0.913,Transporte,Transporte
Almocei hoje e gastei R$ 69.60,True,True,True,1.0,0.915,Comida,Comida
"IPTU R$622,40",True,True,True,0.78,0.938,Moradia,Moradia
Cashback do cartão R$190.58,True,True,True,0.96,0.908,Outros,Outros
"Farmácia popular 83,13 reais",True,True,True,1.0,0.944,Saúde,Saúde
"PIX agendado R$ 107,27",True,True,True,0.96,0.904,Outros,Outros
"Pão de Açúcar 261,54 rs",True,True,True,1.0,0.95,Mercado,Mercado
"Bonificação 3097,90 reais",True,True,True,1.0,0.431,Salário,Salário
"Compras da semana R$157,83",True,True,True,1.0,0.935,Mercado,Mercado
